edition,report_type,measure_name,state_name,rank,value,score,lower_CI,upper_CI,source
2022,2022 Senior,Access to Care - Senior,Alabama,28.0,-0.34,-0.34,,,AHR data
2022,2022 Senior,Access to Care - Senior,Arkansas,36.0,-0.49,-0.49,,,AHR data
2022,2022 Senior,Access to Care - Senior,Arizona,26.0,-0.19,-0.19,,,AHR data
2022,2022 Senior,Access to Care - Senior,California,4.0,0.877,0.877,,,AHR data
2022,2022 Senior,Access to Care - Senior,Colorado,16.0,0.02,0.02,,,AHR data
2022,2022 Senior,Access to Care - Senior,Connecticut,2.0,1.167,1.167,,,AHR data
2022,2022 Senior,Access to Care - Senior,Delaware,33.0,-0.447,-0.447,,,AHR data
2022,2022 Senior,Access to Care - Senior,Florida,35.0,-0.477,-0.477,,,AHR data
2022,2022 Senior,Access to Care - Senior,Georgia,46.0,-0.933,-0.933,,,AHR data
2022,2022 Senior,Access to Care - Senior,Hawaii,18.0,-0.003,-0.003,,,AHR data
2022,2022 Senior,Access to Care - Senior,Iowa,25.0,-0.177,-0.177,,,AHR data
2022,2022 Senior,Access to Care - Senior,Idaho,31.0,-0.4,-0.4,,,AHR data
2022,2022 Senior,Access to Care - Senior,Illinois,47.0,-1.0,-1.0,,,AHR data
2022,2022 Senior,Access to Care - Senior,Indiana,19.0,-0.03,-0.03,,,AHR data
2022,2022 Senior,Access to Care - Senior,Kansas,14.0,0.067,0.067,,,AHR data
2022,2022 Senior,Access to Care - Senior,Kentucky,43.0,-0.783,-0.783,,,AHR data
2022,2022 Senior,Access to Care - Senior,Louisiana,49.0,-1.053,-1.053,,,AHR data
2022,2022 Senior,Access to Care - Senior,Massachusetts,3.0,1.09,1.09,,,AHR data
2022,2022 Senior,Access to Care - Senior,Maryland,9.0,0.31,0.31,,,AHR data
2022,2022 Senior,Access to Care - Senior,Maine,11.0,0.27,0.27,,,AHR data
2022,2022 Senior,Access to Care - Senior,Michigan,15.0,0.03,0.03,,,AHR data
2022,2022 Senior,Access to Care - Senior,Minnesota,1.0,1.817,1.817,,,AHR data
2022,2022 Senior,Access to Care - Senior,Missouri,12.0,0.16,0.16,,,AHR data
2022,2022 Senior,Access to Care - Senior,Mississippi,48.0,-1.027,-1.027,,,AHR data
2022,2022 Senior,Access to Care - Senior,Montana,30.0,-0.397,-0.397,,,AHR data
2022,2022 Senior,Access to Care - Senior,North Carolina,34.0,-0.47,-0.47,,,AHR data
2022,2022 Senior,Access to Care - Senior,North Dakota,22.0,-0.133,-0.133,,,AHR data
2022,2022 Senior,Access to Care - Senior,Nebraska,21.0,-0.107,-0.107,,,AHR data
2022,2022 Senior,Access to Care - Senior,New Hampshire,32.0,-0.437,-0.437,,,AHR data
2022,2022 Senior,Access to Care - Senior,New Jersey,24.0,-0.167,-0.167,,,AHR data
2022,2022 Senior,Access to Care - Senior,New Mexico,7.0,0.46,0.46,,,AHR data
2022,2022 Senior,Access to Care - Senior,Nevada,40.0,-0.643,-0.643,,,AHR data
2022,2022 Senior,Access to Care - Senior,New York,10.0,0.297,0.297,,,AHR data
2022,2022 Senior,Access to Care - Senior,Ohio,20.0,-0.073,-0.073,,,AHR data
2022,2022 Senior,Access to Care - Senior,Oklahoma,50.0,-1.083,-1.083,,,AHR data
2022,2022 Senior,Access to Care - Senior,Oregon,29.0,-0.357,-0.357,,,AHR data
2022,2022 Senior,Access to Care - Senior,Pennsylvania,6.0,0.597,0.597,,,AHR data
2022,2022 Senior,Access to Care - Senior,Rhode Island,5.0,0.78,0.78,,,AHR data
2022,2022 Senior,Access to Care - Senior,South Carolina,44.0,-0.847,-0.847,,,AHR data
2022,2022 Senior,Access to Care - Senior,South Dakota,39.0,-0.64,-0.64,,,AHR data
2022,2022 Senior,Access to Care - Senior,Tennessee,45.0,-0.903,-0.903,,,AHR data
2022,2022 Senior,Access to Care - Senior,Texas,17.0,0.007,0.007,,,AHR data
2022,2022 Senior,Access to Care - Senior,Utah,37.0,-0.51,-0.51,,,AHR data
2022,2022 Senior,Access to Care - Senior,Virginia,27.0,-0.247,-0.247,,,AHR data
2022,2022 Senior,Access to Care - Senior,Vermont,13.0,0.093,0.093,,,AHR data
2022,2022 Senior,Access to Care - Senior,Washington,23.0,-0.163,-0.163,,,AHR data
2022,2022 Senior,Access to Care - Senior,Wisconsin,8.0,0.327,0.327,,,AHR data
2022,2022 Senior,Access to Care - Senior,West Virginia,41.0,-0.693,-0.693,,,AHR data
2022,2022 Senior,Access to Care - Senior,Wyoming,42.0,-0.7,-0.7,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Alaska,45.0,-0.44,-0.44,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Alabama,29.0,0.27,0.27,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Arkansas,18.0,0.48,0.48,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Arizona,42.0,-0.18,-0.18,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,California,49.0,-0.82,-0.82,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Colorado,14.0,0.6,0.6,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Connecticut,19.0,0.475,0.475,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Delaware,31.0,0.21,0.21,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Florida,30.0,0.23,0.23,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Georgia,27.0,0.29,0.29,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Hawaii,1.0,1.18,1.18,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Iowa,21.0,0.43,0.43,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Idaho,20.0,0.46,0.46,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Illinois,43.0,-0.245,-0.245,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Indiana,37.0,-0.035,-0.035,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Kansas,34.0,0.015,0.015,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Kentucky,25.0,0.335,0.335,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Louisiana,38.0,-0.04,-0.04,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Massachusetts,15.0,0.585,0.585,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Maryland,13.0,0.68,0.68,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Maine,1.0,1.18,1.18,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Michigan,28.0,0.285,0.285,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Minnesota,23.0,0.4,0.4,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Missouri,24.0,0.385,0.385,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Mississippi,50.0,-0.935,-0.935,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Montana,8.0,1.01,1.01,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,North Carolina,12.0,0.71,0.71,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,North Dakota,1.0,1.18,1.18,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Nebraska,9.0,0.82,0.82,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,New Hampshire,5.0,1.135,1.135,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,New Jersey,48.0,-0.81,-0.81,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,New Mexico,31.0,0.21,0.21,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Nevada,40.0,-0.155,-0.155,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,New York,10.0,0.785,0.785,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Ohio,33.0,0.095,0.095,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Oklahoma,44.0,-0.395,-0.395,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Oregon,41.0,-0.165,-0.165,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Pennsylvania,35.0,0.005,0.005,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Rhode Island,15.0,0.585,0.585,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,South Carolina,17.0,0.555,0.555,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,South Dakota,4.0,1.16,1.16,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Tennessee,22.0,0.415,0.415,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Texas,39.0,-0.065,-0.065,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Utah,26.0,0.305,0.305,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Virginia,11.0,0.725,0.725,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Vermont,7.0,1.115,1.115,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Washington,35.0,0.005,0.005,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Wisconsin,46.0,-0.475,-0.475,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,West Virginia,47.0,-0.625,-0.625,,,AHR data
2022,2022 Senior,Air and Water Quality - Senior,Wyoming,5.0,1.135,1.135,,,AHR data
2022,2022 Senior,Air Pollution,Alaska,16.0,6.8,-0.94,,,AHR data
2022,2022 Senior,Air Pollution,Alabama,33.0,7.8,-0.31,,,AHR data
2022,2022 Senior,Air Pollution,Arkansas,23.0,7.2,-0.69,,,AHR data
2022,2022 Senior,Air Pollution,Arizona,46.0,9.1,0.5,,,AHR data
2022,2022 Senior,Air Pollution,California,50.0,13.3,2.0,,,AHR data
2022,2022 Senior,Air Pollution,Colorado,18.0,6.9,-0.88,,,AHR data
2022,2022 Senior,Air Pollution,Connecticut,27.0,7.3,-0.63,,,AHR data
2022,2022 Senior,Air Pollution,Delaware,39.0,8.2,-0.06,,,AHR data
2022,2022 Senior,Air Pollution,Florida,23.0,7.2,-0.69,,,AHR data
2022,2022 Senior,Air Pollution,Georgia,33.0,7.8,-0.31,,,AHR data
2022,2022 Senior,Air Pollution,Hawaii,2.0,4.3,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,Iowa,28.0,7.5,-0.5,,,AHR data
2022,2022 Senior,Air Pollution,Idaho,9.0,6.1,-1.38,,,AHR data
2022,2022 Senior,Air Pollution,Illinois,49.0,9.6,0.81,,,AHR data
2022,2022 Senior,Air Pollution,Indiana,45.0,8.7,0.25,,,AHR data
2022,2022 Senior,Air Pollution,Kansas,30.0,7.6,-0.44,,,AHR data
2022,2022 Senior,Air Pollution,Kentucky,33.0,7.8,-0.31,,,AHR data
2022,2022 Senior,Air Pollution,Louisiana,31.0,7.7,-0.38,,,AHR data
2022,2022 Senior,Air Pollution,Massachusetts,19.0,7.0,-0.81,,,AHR data
2022,2022 Senior,Air Pollution,Maryland,15.0,6.7,-1.0,,,AHR data
2022,2022 Senior,Air Pollution,Maine,6.0,5.0,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,Michigan,36.0,7.9,-0.25,,,AHR data
2022,2022 Senior,Air Pollution,Minnesota,16.0,6.8,-0.94,,,AHR data
2022,2022 Senior,Air Pollution,Missouri,28.0,7.5,-0.5,,,AHR data
2022,2022 Senior,Air Pollution,Mississippi,38.0,8.1,-0.13,,,AHR data
2022,2022 Senior,Air Pollution,Montana,8.0,5.5,-1.75,,,AHR data
2022,2022 Senior,Air Pollution,North Carolina,14.0,6.6,-1.06,,,AHR data
2022,2022 Senior,Air Pollution,North Dakota,4.0,4.8,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,Nebraska,11.0,6.2,-1.32,,,AHR data
2022,2022 Senior,Air Pollution,New Hampshire,2.0,4.3,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,New Jersey,31.0,7.7,-0.38,,,AHR data
2022,2022 Senior,Air Pollution,New Mexico,9.0,6.1,-1.38,,,AHR data
2022,2022 Senior,Air Pollution,Nevada,48.0,9.3,0.63,,,AHR data
2022,2022 Senior,Air Pollution,New York,12.0,6.3,-1.25,,,AHR data
2022,2022 Senior,Air Pollution,Ohio,41.0,8.5,0.13,,,AHR data
2022,2022 Senior,Air Pollution,Oklahoma,40.0,8.4,0.06,,,AHR data
2022,2022 Senior,Air Pollution,Oregon,47.0,9.2,0.56,,,AHR data
2022,2022 Senior,Air Pollution,Pennsylvania,41.0,8.5,0.13,,,AHR data
2022,2022 Senior,Air Pollution,Rhode Island,19.0,7.0,-0.81,,,AHR data
2022,2022 Senior,Air Pollution,South Carolina,21.0,7.1,-0.75,,,AHR data
2022,2022 Senior,Air Pollution,South Dakota,7.0,5.1,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,Tennessee,23.0,7.2,-0.69,,,AHR data
2022,2022 Senior,Air Pollution,Texas,41.0,8.5,0.13,,,AHR data
2022,2022 Senior,Air Pollution,Utah,36.0,7.9,-0.25,,,AHR data
2022,2022 Senior,Air Pollution,Virginia,13.0,6.5,-1.13,,,AHR data
2022,2022 Senior,Air Pollution,Vermont,5.0,4.9,-2.0,,,AHR data
2022,2022 Senior,Air Pollution,Washington,41.0,8.5,0.13,,,AHR data
2022,2022 Senior,Air Pollution,Wisconsin,23.0,7.2,-0.69,,,AHR data
2022,2022 Senior,Air Pollution,West Virginia,21.0,7.1,-0.75,,,AHR data
2022,2022 Senior,Air Pollution,Wyoming,1.0,4.2,-2.0,,,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Alabama,20.0,3.9,-0.33,5.0,2.8,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Alaska,44.0,5.3,1.23,7.3,3.3,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Arizona,17.0,3.8,-0.45,4.7,2.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Arkansas,48.0,5.7,1.67,7.1,4.4,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,California,2.0,2.8,-1.56,3.8,1.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Colorado,25.0,4.1,-0.11,5.0,3.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Connecticut,1.0,2.3,-2.0,3.1,1.5,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Delaware,32.0,4.3,0.11,5.9,2.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Florida,20.0,3.9,-0.33,4.8,3.0,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Georgia,45.0,5.4,1.34,6.9,4.0,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Hawaii,28.0,4.2,0.0,5.7,2.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Idaho,17.0,3.8,-0.45,5.1,2.5,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Illinois,50.0,6.0,2.0,8.1,3.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Indiana,15.0,3.6,-0.67,4.4,2.8,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Iowa,5.0,2.9,-1.45,3.7,2.1,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Kansas,2.0,2.8,-1.56,3.5,2.1,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Kentucky,32.0,4.3,0.11,5.8,2.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Louisiana,45.0,5.4,1.34,7.4,3.3,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Maine,8.0,3.1,-1.23,3.9,2.3,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Maryland,14.0,3.5,-0.78,4.3,2.8,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Massachusetts,32.0,4.3,0.11,5.4,3.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Michigan,16.0,3.7,-0.56,4.7,2.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Minnesota,5.0,2.9,-1.45,3.5,2.3,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Mississippi,49.0,5.8,1.78,7.1,4.5,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Missouri,25.0,4.1,-0.11,5.1,3.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Montana,13.0,3.4,-0.89,4.3,2.5,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Nebraska,8.0,3.1,-1.23,3.8,2.4,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Nevada,37.0,4.6,0.45,7.0,2.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,New Hampshire,38.0,4.7,0.56,5.8,3.6,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,New Jersey,41.0,4.9,0.78,6.1,3.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,New Mexico,8.0,3.1,-1.23,4.1,2.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,New York,47.0,5.6,1.56,6.8,4.4,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,North Carolina,35.0,4.4,0.22,5.7,3.1,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,North Dakota,2.0,2.8,-1.56,3.7,1.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Ohio,28.0,4.2,0.0,5.0,3.4,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Oklahoma,39.0,4.8,0.67,6.0,3.6,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Oregon,23.0,4.0,-0.22,5.3,2.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Pennsylvania,28.0,4.2,0.0,5.5,2.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Rhode Island,8.0,3.1,-1.23,4.2,2.0,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,South Carolina,42.0,5.0,0.89,6.4,3.6,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,South Dakota,7.0,3.0,-1.34,4.4,1.7,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Tennessee,39.0,4.8,0.67,6.4,3.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Texas,43.0,5.2,1.11,6.8,3.6,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Utah,23.0,4.0,-0.22,4.9,3.1,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Vermont,20.0,3.9,-0.33,5.1,2.8,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Virginia,17.0,3.8,-0.45,4.7,2.9,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Washington,25.0,4.1,-0.11,5.0,3.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,West Virginia,36.0,4.5,0.33,5.6,3.4,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Wisconsin,12.0,3.3,-1.0,4.4,2.2,AHR data
2022,2022 Senior,Avoided Care Due to Cost - Ages 65+,Wyoming,28.0,4.2,0.0,5.4,3.0,AHR data
2022,2022 Senior,Behavioral Health - Senior,Alaska,43.0,-0.52,-0.52,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Alabama,22.0,0.197,0.197,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Arkansas,24.0,0.13,0.13,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Arizona,37.0,-0.28,-0.28,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,California,45.0,-0.563,-0.563,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Colorado,33.0,-0.15,-0.15,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Connecticut,10.0,0.503,0.503,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Delaware,3.0,0.797,0.797,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Florida,41.0,-0.403,-0.403,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Georgia,28.0,0.053,0.053,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Hawaii,26.0,0.113,0.113,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Iowa,12.0,0.46,0.46,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Idaho,47.0,-0.62,-0.62,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Illinois,1.0,1.08,1.08,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Indiana,23.0,0.163,0.163,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Kansas,9.0,0.51,0.51,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Kentucky,38.0,-0.283,-0.283,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Louisiana,46.0,-0.577,-0.577,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Massachusetts,19.0,0.247,0.247,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Maryland,16.0,0.323,0.323,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Maine,41.0,-0.403,-0.403,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Michigan,44.0,-0.537,-0.537,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Minnesota,8.0,0.53,0.53,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Missouri,31.0,-0.093,-0.093,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Mississippi,13.0,0.393,0.393,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Montana,48.0,-0.647,-0.647,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,North Carolina,20.0,0.233,0.233,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,North Dakota,2.0,0.933,0.933,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Nebraska,5.0,0.583,0.583,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,New Hampshire,38.0,-0.283,-0.283,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,New Jersey,17.0,0.317,0.317,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,New Mexico,40.0,-0.3,-0.3,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Nevada,50.0,-1.4,-1.4,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,New York,27.0,0.09,0.09,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Ohio,35.0,-0.183,-0.183,,,AHR data
2022,2022 Senior,Behavioral Health - Senior,Oklahoma,34.0,-0.177,-0.177,,,AHR data
